order_id,product,quantity,unit_price,order_date,region,total_price,sale_tier
3,Laptop,2.0,250.0,2024-01-08,,500.0,Bronze
4,Laptop,2.0,750.0,2024-01-07,West,1500.0,Silver
5,Tablet,3.0,530.0,2024-03-07,South,1590.0,Silver
7,Monitor,2.0,750.0,2024-02-02,West,1500.0,Silver
8,Laptop,3.0,383.3333333333333,2024-02-17,,1150.0,Silver
10,Monitor,1.0,500.0,2024-02-28,North,500.0,Bronze
11,Monitor,3.0,750.0,2024-04-24,West,2250.0,Gold
12,Tablet,2.0,750.0,2024-03-26,East,1500.0,Silver
13,Tablet,1.0,750.0,2024-04-28,West,750.0,Bronze
14,Tablet,1.0,530.0,2024-01-22,South,530.0,Bronze
15,Laptop,1.0,383.3333333333333,2024-04-19,South,383.3333333333333,Bronze
16,Monitor,3.0,750.0,,East,2250.0,Gold
17,Tablet,2.0,530.0,2024-02-07,North,1060.0,Silver
18,Tablet,1.0,250.0,2024-04-11,South,250.0,
20,Tablet,1.0,530.0,2024-02-20,South,530.0,Bronze
21,Laptop,1.0,383.3333333333333,2024-02-23,South,383.3333333333333,Bronze
22,Phone,3.0,750.0,2024-01-08,North,2250.0,Gold
23,Tablet,3.0,500.0,2024-01-27,West,1500.0,Silver
24,Phone,2.0,531.25,2024-01-27,South,1062.5,Silver
26,Monitor,3.0,750.0,2024-01-21,West,2250.0,Gold
27,Tablet,1.0,530.0,2024-01-30,,530.0,Bronze
28,Laptop,2.0,250.0,2024-04-06,North,500.0,Bronze
29,Monitor,1.0,250.0,2024-01-28,,250.0,
30,Monitor,1.0,500.0,2024-04-20,West,500.0,Bronze
31,Phone,3.0,750.0,2024-03-04,West,2250.0,Gold
32,Laptop,2.0,750.0,2024-04-06,West,1500.0,Silver
35,Tablet,3.0,750.0,2024-02-17,,2250.0,Gold
36,Phone,3.0,750.0,2024-01-19,West,2250.0,Gold
37,Monitor,2.0,531.25,2024-01-04,East,1062.5,Silver
41,Monitor,1.0,250.0,2024-01-17,West,250.0,
43,Tablet,1.0,530.0,2024-04-01,East,530.0,Bronze
44,Tablet,2.0,250.0,2024-01-30,North,500.0,Bronze
45,Laptop,1.0,500.0,2024-04-02,East,500.0,Bronze
46,Tablet,2.0,250.0,2024-02-15,West,500.0,Bronze
49,Phone,2.0,531.25,2024-04-08,,1062.5,Silver
50,Tablet,3.0,250.0,2024-04-14,South,750.0,Bronze
51,Laptop,2.0,250.0,2024-02-06,,500.0,Bronze
52,Laptop,3.0,383.3333333333333,2024-01-24,North,1150.0,Silver
53,Phone,1.0,750.0,2024-04-02,West,750.0,Bronze
54,Tablet,1.0,750.0,2024-04-22,,750.0,Bronze
55,Tablet,1.0,250.0,2024-02-15,North,250.0,
57,Tablet,1.0,750.0,2024-04-04,South,750.0,Bronze
58,Tablet,3.0,750.0,2024-04-08,North,2250.0,Gold
59,Laptop,1.0,383.3333333333333,2024-02-29,South,383.3333333333333,Bronze
60,Tablet,2.0,530.0,2024-04-06,North,1060.0,Silver
61,Tablet,2.0,750.0,2024-04-25,,1500.0,Silver
63,Phone,2.0,531.25,2024-03-25,North,1062.5,Silver
64,Monitor,3.0,500.0,2024-02-01,,1500.0,Silver
65,Laptop,1.0,383.3333333333333,2024-03-27,,383.3333333333333,Bronze
67,Tablet,1.0,530.0,2024-03-07,East,530.0,Bronze
68,Monitor,1.0,531.25,2024-01-18,West,531.25,Bronze
69,Tablet,3.0,750.0,2024-01-25,South,2250.0,Gold
70,Laptop,2.0,250.0,2024-04-15,East,500.0,Bronze
71,Monitor,2.0,531.25,2024-04-04,,1062.5,Silver
72,Laptop,1.0,383.3333333333333,2024-02-23,North,383.3333333333333,Bronze
74,Monitor,2.0,531.25,2024-03-07,West,1062.5,Silver
76,Laptop,2.0,500.0,2024-02-15,North,1000.0,Bronze
78,Tablet,3.0,530.0,2024-04-23,,1590.0,Silver
80,Tablet,3.0,250.0,2024-02-16,South,750.0,Bronze
81,Tablet,3.0,750.0,2024-03-26,South,2250.0,Gold
83,Monitor,3.0,250.0,2024-03-06,West,750.0,Bronze
84,Laptop,1.0,500.0,2024-01-27,North,500.0,Bronze
85,Monitor,3.0,531.25,2024-04-15,,1593.75,Silver
86,Tablet,2.0,500.0,2024-01-02,South,1000.0,Bronze
88,Tablet,1.0,500.0,2024-01-17,,500.0,Bronze
90,Monitor,2.0,750.0,2024-02-02,South,1500.0,Silver
91,Phone,2.0,531.25,2024-01-09,West,1062.5,Silver
92,Phone,2.0,250.0,2024-02-12,South,500.0,Bronze
93,Laptop,3.0,250.0,2024-04-27,South,750.0,Bronze
94,Phone,3.0,531.25,2024-02-17,East,1593.75,Silver
97,Phone,1.0,250.0,2024-02-11,,250.0,
98,Monitor,1.0,500.0,2024-04-28,,500.0,Bronze
100,Monitor,3.0,531.25,2024-04-08,South,1593.75,Silver
